timestamp,open,high,low,close
2025-06-20 08:00:00,2300,2310,2295,2305
2025-06-20 12:00:00,2305,2320,2300,2315
2025-06-20 16:00:00,2315,2330,2310,2325
2025-06-20 20:00:00,2325,2335,2320,2332
2025-06-21 00:00:00,2332,2337,2325,2330
2025-06-21 04:00:00,2330,2335,2310,2312
2025-06-21 08:00:00,2312,2320,2305,2310
2025-06-21 12:00:00,2310,2315,2295,2300
2025-06-21 16:00:00,2300,2304,2280,2295
2025-06-21 20:00:00,2295,2305,2288,2302
2025-06-22 00:00:00,2302,2310,2295,2306
2025-06-22 04:00:00,2306,2320,2300,2315
2025-06-22 08:00:00,2315,2328,2300,2310
2025-06-22 12:00:00,2310,2315,2295,2300
2025-06-22 16:00:00,2300,2305,2280,2285
2025-06-22 20:00:00,2285,2295,2275,2282
